,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
102,102,,,"[ENTJ 댓글읽기] 뭐든 받으면 꼭 돌려줌, 좋은 거든 나쁜 거든ㅣ오두막🛖에서 시작해도 야망 하나로 빌딩🏙 세우는 사람들,, ",초보 ,,,
103,103,,,[무지개맨] EP.1 우리의 무지개 맨 ,고수 ,,,
104,104,,,말싸움장인 ENTP(엔팁) 모음 (MBTI만화) ,알파 ,,,
105,105,,,MBTI만화 올리면 달리는 댓글들..속상행 ,고등학생 ,,,
106,106,,,MBTI 16명 단체 사진 찍기 (MBTI만화) ,화상교육 ,,,
107,107,,,MBTI 수련회 (MBTI만화) ,영국 ,,,
108,108,,,MBTI 여름나기 (MBTI만화) ,반응 ,,,
109,109,,,1년만에 영화관 가서 흥분한 INFP (MBTI 만화) ,시리즈 ,,,
110,110,,,10초만에 자기소개하기 [2] (MBTI 만화) ,일주 ,,,
111,111,,,MBTI 유치원 (MBTI 만화) ,외국놈 ,,,
112,112,,,MBTI 올림픽 시청하기  (MBTI 만화) ,한국 ,,,
113,113,,,MBTI 인생네컷 찍는법 (MBTI 만화) ,캄보디아 ,,,
114,114,,,MBTI 경로당/노인정 (MBTI 만화) ,캄보디안 ,,,
115,115,,,MBTI 방과후 분식집 (MBTI 만화) ,엄마 ,,,
116,116,,,MBTI 16유형 아침인사 (MBTI 만화) ,엄마 ,,,
117,117,,,[ASMR] 약속 늦었다! 완전 빠른 메이크업 해줄게 😎ㅣ투쿨포스쿨ㅣ말 완전 많음 소곤소곤 💖 ,캄보디아 ,,,
118,118,,,★역대급 사기맵★ 287연승을 했다는 사기맵 끝판왕을 만났습니다ㄷㄷ ,캄보디안 ,,,
119,119,,,ASMR 잠이솔솔 메이크업 퍼프상점 롤플레이 /ASMR Sleepy Makeup Sponges Shop RP/ makeup sounds ,미국 ,,,
120,120,,,초보 vs 고수 ASMRist / The Beginner Vs Master ASMRist ,하루 1억원 팔린 텍사스 바베큐 스페어립 / texas style barbecue s... ,,,
121,121,,,중국인 발작버튼 눌러보았습니다 ,하루 1억원 팔린 텍사스 바비큐 스페어립 / texas style barbecue s... ,,,
122,122,,,15초 안에 게임 끝남ㅋ ,saturn telescope ,,,
123,123,,,there's someone I'd like you to meet... ,토성 관측 고화질 ,,,
124,124,,,고졸 개발자의 현실적인 조언 ,토성 관측 망원경 ,,,
125,125,,,Don't Be A Programmer ,천체망원경 토성 ,,,
126,126,,,how programmers attend meetings at big tech companies ,"스트리밍 영상 다운로드 프로그램 끝판왕 , 모든 스트리밍 사이트의 영상을 다운로드 받을 수 있어요!! ",,,
127,127,,,한중일 출신이 구글에서 더 올라가지 못하는 3가지 이유 ,that second kiss ,,,
128,128,,,chill lofi beats to code/relax to ,coding music ,,,
129,129,,,If Programming Was An Anime ,하루 1억원 팔린 텍사스 바비큐 스페어립 / texas style barbecue s... ,,,
130,130,,,Why Microsoft Word is the best IDE for programming ,[풀버전] 차지연의 美친 고음폭발↗ ′Defying Gravity′ 뮤지컬 위키드 中... ,,,
131,131,,,My Ultimate Work From Home Desk Setup for Productivity ,"금연 중엔 보면 안 되는, 수컷의 영상 🔥 Andy Grammer - My Own ... ",,,
132,132,,,"I Built a Trading Bot to let Subscribers Trade $25,000 on Twitch ",내가아는 제일웃긴 일반인여성과 데이트 [뚬더커플 vlog] ,,,
133,133,,,a day in the life of an engineer working from home ,https://www.youtube.com/watch?v=TZhJ4cz32nU ,,,
